title,price,location,link
New Samsung Galaxy A06 64 GB Black,"₦ 100,000","Lagos, Surulere",https://jiji.ng/surulere/mobile-phones/new-samsung-galaxy-a06-64-gb-black-wgtGqmN7Ldo5dMMItd89yPFK.html?indexPosition=0
New Apple iPhone 16 Plus 256 GB White,"₦ 1,220,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-apple-iphone-16-plus-256-gb-white-mGAWUnM1L483aE1rEthBsCth.html?indexPosition=3
New Samsung Galaxy S21 Ultra 5G 256 GB Black,"₦ 450,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-samsung-galaxy-s21-ultra-5g-256-gb-black-8goY9wIof0IXRcTJlSlvs9lm.html?indexPosition=6
Apple iPhone 13 Pro 128 GB Black,"₦ 525,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/apple-iphone-13-pro-128-gb-black-2NtYxSA3kbv5LjGTWYb6snuW.html?indexPosition=9
New Samsung Galaxy Note 20 Ultra 5G 128 GB Black,"₦ 450,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-samsung-galaxy-note-20-ultra-5g-128-gb-black-kuoV7Epq8UMCB1WCThNOnYTJ.html?indexPosition=12
New Apple iPhone 17 Pro Max 256 GB Orange,"₦ 320,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-apple-iphone-17-pro-max-256-gb-orange-cFYK16maaNwfib6zStdjHmv1.html?indexPosition=15
Samsung Galaxy Note10+ 256 GB Black,"₦ 315,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/samsung-galaxy-note10-256-gb-black-mWD0tttm5kbFCqmqHeDldO2Q.html?indexPosition=18
New Samsung Galaxy S10 Plus 128 GB Black,"₦ 280,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-samsung-galaxy-s10-plus-128-gb-black-f81zMszwyG8joxcJBt0UMaa9.html?indexPosition=1
New Google Pixel Fold 256 GB White,"₦ 650,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-google-pixel-fold-256-gb-white-r9uoc0mJ35tpi0iKRDnx2woV.html?indexPosition=4
New Apple iPhone 16 Plus 256 GB Pink,"₦ 1,320,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-apple-iphone-16-plus-256-gb-pink-tLhFyhvjFYZpyjgWnAvKlrFl.html?indexPosition=7
New Apple iPhone 16 Pro Max 1 TB Gold,"₦ 170,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-apple-iphone-16-pro-max-1-tb-gold-bdJAm95KRLFkxPLBOMcm1JYq.html?indexPosition=10
New Samsung Galaxy S23 Ultra 256 GB,"₦ 850,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-samsung-galaxy-s23-ultra-256-gb-bbEltK6XHHCjMUieMFH61lZB.html?indexPosition=13
Apple iPhone XR 128 GB Pink,"₦ 260,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/apple-iphone-xr-128-gb-pink-zr1IZoX2GvjgpzOVODJNOiPL.html?indexPosition=16
New Apple iPhone 15 256 GB,"₦ 920,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-apple-iphone-15-256-gb-fiDQRuo6CTxZyMUL66H1L4Kn.html?indexPosition=19
New Samsung Galaxy Note10 256 GB White,"₦ 260,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-samsung-galaxy-note10-256-gb-white-x9n3Nk2rBVuY7FqCCD6yZ0rV.html?indexPosition=2
New Samsung Galaxy Z Fold 5 512 GB Black,"₦ 900,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-samsung-galaxy-z-fold-5-512-gb-black-pyCXLklNlGACZ4FDH9o2FZ5m.html?indexPosition=5
New Google Pixel Fold 256 GB Black,"₦ 600,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-google-pixel-fold-256-gb-black-B4UOne2qMysMs31pzCUoiMOg.html?indexPosition=8
New Xiaomi Redmi Note 13 256 GB Red,"₦ 340,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-xiaomi-redmi-note-13-256-gb-red-mn0EYCBNiLtrNurDexH0HEh8.html?indexPosition=11
Samsung Galaxy S21+ 5G 128 GB Silver,"₦ 240,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/samsung-galaxy-s21-5g-128-gb-silver-cTdedrdIK8BIplhJzD3Ri7Zh.html?indexPosition=14
New Samsung Galaxy Z Fold 3 256 GB Black,"₦ 550,000","Lagos, Ikeja",https://jiji.ng/ikeja/mobile-phones/new-samsung-galaxy-z-fold-3-256-gb-black-pOFylXT7hnvszlXFUdpaJ7yL.html?indexPosition=17
